target,seed,fold,test_r2
HCP_20pct,2,0,0.8119354556319169
HCP_20pct,2,1,0.7870051829933554
HCP_20pct,2,2,0.756416728483095
HCP_20pct,2,3,0.6848787163379325
HCP_20pct,2,4,0.5567118805131539
BCC_20pct,2,0,0.796049244424302
BCC_20pct,2,1,0.8891874231001544
BCC_20pct,2,2,0.8801029634006022
BCC_20pct,2,3,0.835741545605784
BCC_20pct,2,4,0.850615686057932
Other_0pct,2,0,0.9982818770356525
Other_0pct,2,1,0.9981184152946643
Other_0pct,2,2,0.9984353820888495
Other_0pct,2,3,0.9984824736586907
Other_0pct,2,4,0.9992859731863016
Other_20pct,2,0,0.996214328316887
Other_20pct,2,1,0.9965401674724201
Other_20pct,2,2,0.9972628205300331
Other_20pct,2,3,0.9975587841962887
Other_20pct,2,4,0.9973273013307566
Youngs_modulus,3,0,0.9802115695568238
Youngs_modulus,3,1,0.9707612165613807
Youngs_modulus,3,2,0.9844615370456485
Youngs_modulus,3,3,0.9859472352752361
Youngs_modulus,3,4,0.9828950036023388
UTS,3,0,0.991969856148555
UTS,3,1,0.9912057980164182
UTS,3,2,0.9933108505965897
UTS,3,3,0.9935063552885297
UTS,3,4,0.99308234640692
Disloc_0pct,3,0,0.9796845470136611
Disloc_0pct,3,1,0.9799772662544599
Disloc_0pct,3,2,0.9764691955993592
Disloc_0pct,3,3,0.9819664436149439
Disloc_0pct,3,4,0.9735442530491902
Disloc_20pct,3,0,0.9178168852927421
Disloc_20pct,3,1,0.8661473314949555
Disloc_20pct,3,2,0.9109442037759394
Disloc_20pct,3,3,0.9419852186296637
Disloc_20pct,3,4,0.910598140084212
FCC_0pct,3,0,0.9983637149643354
FCC_0pct,3,1,0.9960434204904198
FCC_0pct,3,2,0.9987221786090534
FCC_0pct,3,3,0.9963290050065038
FCC_0pct,3,4,0.9991277584494909
HCP_0pct,3,0,0.5797792403913742
HCP_0pct,3,1,0.7487094716730948
HCP_0pct,3,2,0.7113798253277832
HCP_0pct,3,3,0.7037433744670054
HCP_0pct,3,4,0.7390617364199427
BCC_0pct,3,0,0.5879690486120412
BCC_0pct,3,1,0.41947767632347754
BCC_0pct,3,2,0.42341702485370303
BCC_0pct,3,3,0.464314587108666
BCC_0pct,3,4,0.4856227218678236
FCC_20pct,3,0,0.9410036982318045
FCC_20pct,3,1,0.9458314303136048
FCC_20pct,3,2,0.9561583727853242
FCC_20pct,3,3,0.939316511208175
FCC_20pct,3,4,0.9628383847840252
HCP_20pct,3,0,0.7884721177202383
HCP_20pct,3,1,0.7909783246748915
HCP_20pct,3,2,0.7228197438325612
HCP_20pct,3,3,0.7150544353783947
HCP_20pct,3,4,0.8019776520269506
BCC_20pct,3,0,0.903138889919197
BCC_20pct,3,1,0.8468536803457348
BCC_20pct,3,2,0.7439583906170888
BCC_20pct,3,3,0.8603466969493531
BCC_20pct,3,4,0.8493034588821071
Other_0pct,3,0,0.9976416957469926
