model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
TabularTransformer,Disloc_20pct,0.9062946047002933,0.01678183736896782,0.9098014142680022,0.8899113770108193,0.9064912264335057,0.9320280490537974,0.9031925914467767,0.9106159962986872,0.8837039743497666,0.9190951142434225,0.9377268197710978,0.9048160475037311,0.9047533103489191,0.8750542088746545,0.9100019064486427,0.9030102295848625,0.9099448416367459,0.9061275472367166,0.8927044475818441,0.8832960288371593,0.933888637544621,0.9133121856759968,0.9017587321985243,0.8744366758863593,0.9188199299913667,0.9317093480226195,0.9011644772586923
AttentionMLP,Disloc_20pct,0.5232196051911674,0.38291646881917324,0.8055058622299731,0.8778972720422131,0.6576958711524308,0.8986463541668501,0.04455317230945255,0.21793779251704815,0.7161634335952289,0.906689001276169,0.15364129212198263,-0.00035117072950408,0.2107971207514162,0.8211116836028094,0.9160461901885826,0.3307103017301476,-0.11040913670186092,0.732657797454892,0.8520615684420773,0.8830279663357059,0.35808653898377374,0.8165441176225463,0.7262429910424287,-0.1883610480643123,-0.1764055566107645,0.779535246897822,0.8504654674220777
DeepMLP,FCC_0pct,0.4486755591160864,0.7096444477279535,0.7957706361954038,0.40958351699017126,0.5492993219824345,0.6505363149215659,0.8759452470173748,-0.10650085286318256,-0.736133538116079,0.7155070231652412,0.652988755117945,0.8556609720640371,0.7614327090434407,0.76215079847193,0.7358474573247555,0.7450248533918138,0.8106637336111886,0.7300322946631173,0.8036145196106309,-0.2727535182639791,0.8233405837154918,-2.4895838711989033,0.6106754895718607,0.5980574317456753,0.41353746269830094,0.72861275356515,0.7935788834767756
TabularTransformer,FCC_0pct,-1.4073178313484416,0.5245321080854805,-0.5073266011664779,-1.9154993664802418,-1.5106055774307627,-2.26424673932871,-1.342896342143741,-1.0403450038987514,-1.3190501027498254,-0.5825119270509669,-0.7069757822941218,-1.502439336202828,-0.9435574988844249,-1.4181947844064382,-2.2678103409333277,-1.2377633630680744,-1.885685085590826,-1.0776395807683352,-0.6210535618756512,-2.292663832910132,-1.4192502846164654,-1.7478567027490586,-1.7141103587901285,-1.2697266928111421,-1.8398922976975252,-1.9241396981880001,-0.8317049216750847
AttentionMLP,FCC_0pct,0.8665939049128986,0.3785717459380819,0.9784561553151067,0.9612873191115211,0.9191199656672784,0.971783383649898,0.891636353038086,0.9003596802621746,0.9716687869769702,0.9779101095776679,0.9535783268823163,0.9324131413790541,0.9383236727608653,0.950191668141858,0.9479906574952096,0.9692882996566878,-0.9831447922990242,0.8861832171087823,0.9592343243779514,0.9533637545627105,0.9856256052749318,0.9613643423646892,0.9327133625599315,0.9564623341754461,0.9073130862381121,0.9249092698571089,0.9168155986871288
DeepMLP,HCP_0pct,0.6646562857779523,0.07280568746624619,0.7208736313565483,0.7127614233365336,0.7314302579964542,0.6376543373859085,0.6385601826123453,0.6748706444630808,0.7153059359399062,0.6530410922066995,0.5253606816028826,0.7218403072943543,0.6787066508843307,0.7132175560403651,0.6734317558737064,0.5683771923515608,0.6942166327096729,0.6913830774821401,0.7180507155542744,0.7136697663312954,0.6290388719432924,0.4054379407495191,0.6274063435459671,0.7191954149852128,0.7197255916716998,0.6897494239625981,0.6431017161684593
TabularTransformer,HCP_0pct,-0.5876594095991023,1.2797557026625797,0.4316416789405867,-0.7215584422570076,0.5320987506654147,0.6239434065116669,0.09060140842913322,-1.207606297144605,-0.6962325016143471,-0.28013798852683247,-0.24991021570126848,0.6452077330453749,0.6457500446724304,-1.133516289078608,-0.4792969827103275,-5.292421192439073,-0.056034759808434975,-0.7839915084101445,-1.2068648649357079,0.25549778588892635,0.274031838413469,-3.0023339501038286,-0.23833367674293027,-0.016172164829596936,-1.11213998308691,0.08063536273950145,-1.7943424318944405
AttentionMLP,HCP_0pct,-0.4715251495337085,1.4891180111093314,0.07223423862958822,0.34794168015575166,0.04282646877469576,0.14119719069013703,0.5209790663254974,-5.2730530980500046,0.5155894042069726,0.6648128212044448,-0.5320114843217962,-0.744733091892019,0.3326785651116696,0.6231771513418947,-1.1724873760638053,-1.745909760913689,-2.891902942581632,0.3598607977799644,0.6473484619579437,-2.1839606482261518,0.17454568246115276,0.5853801797220971,-3.437135276812109,0.43246821050064554,0.3164021439732261,0.38293138746101296,0.032691490221797403
DeepMLP,BCC_0pct,0.04940803192149609,0.30959891535083167,0.2011413433931255,0.2254808864897372,-0.8492646826091397,-0.02594501606290489,-0.07845645815606028,2.8381985480052663e-05,0.1929062658310191,0.31691677007517693,-0.18770795204763457,0.14455120689194767,-0.15629103287907453,0.22063185781026207,0.41905410489991135,-0.09560188184195795,0.3030756398076838,-0.6422142758939966,0.4247713739010789,0.2137652951815341,-0.1345266216986145,0.18622263491399094,0.16604540055629913,0.547891590078021,-0.13729631611211035,-0.17777597553086388,0.15779825905449185
TabularTransformer,BCC_0pct,-0.05294235793009676,0.4073273632022947,0.2991405282083266,0.16907239575874056,0.1768584759112617,-0.8732366864573493,-0.02608715093066527,-0.10011759146118049,0.16885217452207035,-0.02540666412334236,-1.3042949945771705,0.14221574451792218,0.13655141537282656,0.4414420529034605,0.09069753123761704,-0.20190748868459285,0.26778249108308494,0.03241487006139243,-0.6814888063170006,0.2787341427908724,0.05695905021356107,0.24164422631369864,0.01977996781526503,-0.7711428694932008,0.004911777140708229,0.03616503511297953,0.09690142482829522
