target,seed,fold,test_r2
Other_20pct,1,4,0.9985595103946737
Youngs_modulus,2,0,0.9969333526223703
Youngs_modulus,2,1,0.9942602065831322
Youngs_modulus,2,2,0.9974570948781384
Youngs_modulus,2,3,0.9977917241869397
Youngs_modulus,2,4,0.9976008759975388
UTS,2,0,0.9958664672690378
UTS,2,1,0.9935812942175696
UTS,2,2,0.9956284814382467
UTS,2,3,0.9961463170297375
UTS,2,4,0.9968233495439539
Disloc_0pct,2,0,0.9837006896200005
Disloc_0pct,2,1,0.9843671207390026
Disloc_0pct,2,2,0.9823287051859627
Disloc_0pct,2,3,0.9851406539988847
Disloc_0pct,2,4,0.9819365986975732
Disloc_20pct,2,0,0.9163791495554677
Disloc_20pct,2,1,0.9219871114951722
Disloc_20pct,2,2,0.9273270480813779
Disloc_20pct,2,3,0.9503488972447994
Disloc_20pct,2,4,0.9226121735186529
FCC_0pct,2,0,0.9996973181576857
FCC_0pct,2,1,0.9996749095363792
FCC_0pct,2,2,0.9997121924918232
FCC_0pct,2,3,0.9997437746054396
FCC_0pct,2,4,0.9997170461718635
HCP_0pct,2,0,0.7971201924926594
HCP_0pct,2,1,0.8000801497898762
HCP_0pct,2,2,0.8096798175827504
HCP_0pct,2,3,0.7897851677851753
HCP_0pct,2,4,0.777614928174718
BCC_0pct,2,0,0.7095455334217982
BCC_0pct,2,1,0.7107528652257711
BCC_0pct,2,2,0.6143970177277515
BCC_0pct,2,3,0.6965181164733043
BCC_0pct,2,4,0.6618032135753041
FCC_20pct,2,0,0.9638258846094662
FCC_20pct,2,1,0.9654615586025166
FCC_20pct,2,2,0.9716911412448879
FCC_20pct,2,3,0.9669685472694229
FCC_20pct,2,4,0.9682479094326886
HCP_20pct,2,0,0.8325733152083447
HCP_20pct,2,1,0.8594693462442189
HCP_20pct,2,2,0.8629216885817891
HCP_20pct,2,3,0.8368613908859001
HCP_20pct,2,4,0.8610013342678834
BCC_20pct,2,0,0.9408880552595411
BCC_20pct,2,1,0.9339063311412152
BCC_20pct,2,2,0.9131211217947149
BCC_20pct,2,3,0.9403579618524699
BCC_20pct,2,4,0.9136250478459511
Other_0pct,2,0,0.9995885713496467
Other_0pct,2,1,0.9996341737449984
Other_0pct,2,2,0.9996743169724777
Other_0pct,2,3,0.9997406487441834
Other_0pct,2,4,0.9996304658404994
Other_20pct,2,0,0.9980178586160376
Other_20pct,2,1,0.998463411287877
Other_20pct,2,2,0.9985710135976122
Other_20pct,2,3,0.9973640008275262
Other_20pct,2,4,0.9979586482055748
Youngs_modulus,3,0,0.9969333526489182
Youngs_modulus,3,1,0.9942602062993946
Youngs_modulus,3,2,0.9974570948941832
Youngs_modulus,3,3,0.9977917234411003
Youngs_modulus,3,4,0.9976008758973323
UTS,3,0,0.9958664671957301
UTS,3,1,0.9935812947223743
UTS,3,2,0.9956284814086359
UTS,3,3,0.9961463175242196
UTS,3,4,0.9968233498210254
Disloc_0pct,3,0,0.9837006899188584
Disloc_0pct,3,1,0.984367122669418
Disloc_0pct,3,2,0.9823287064807329
Disloc_0pct,3,3,0.9851406506225758
Disloc_0pct,3,4,0.981936598755451
Disloc_20pct,3,0,0.9163791690690031
Disloc_20pct,3,1,0.9219871112836148
Disloc_20pct,3,2,0.9273270482134837
Disloc_20pct,3,3,0.950348895526002
Disloc_20pct,3,4,0.9226121743070471
FCC_0pct,3,0,0.9996973179824632
FCC_0pct,3,1,0.9996749103544794
FCC_0pct,3,2,0.9997121924918232
FCC_0pct,3,3,0.9997437746054396
FCC_0pct,3,4,0.9997170456547576
HCP_0pct,3,0,0.7971201924926594
HCP_0pct,3,1,0.8000801619489862
HCP_0pct,3,2,0.8096797904094382
HCP_0pct,3,3,0.7897851430499033
HCP_0pct,3,4,0.7776149468193128
BCC_0pct,3,0,0.7095455597572886
BCC_0pct,3,1,0.4984621505081256
