model,target,mean_R2,std_R2,s0_f0,s0_f1,s0_f2,s0_f3,s0_f4,s1_f0,s1_f1,s1_f2,s1_f3,s1_f4,s2_f0,s2_f1,s2_f2,s2_f3,s2_f4,s3_f0,s3_f1,s3_f2,s3_f3,s3_f4,s4_f0,s4_f1,s4_f2,s4_f3,s4_f4
SVR,UTS,0.9910518662493649,0.0009110032359447526,0.9917086744289476,0.989736702408433,0.9903608621584159,0.9911785000316599,0.9922745922193684,0.9917086744289476,0.989736702408433,0.9903608621584159,0.9911785000316599,0.9922745922193684,0.9917086744289476,0.989736702408433,0.9903608621584159,0.9911785000316599,0.9922745922193684,0.9917086744289476,0.989736702408433,0.9903608621584159,0.9911785000316599,0.9922745922193684,0.9917086744289476,0.989736702408433,0.9903608621584159,0.9911785000316599,0.9922745922193684
Ridge,UTS,0.9935894928300176,0.0007171959889321342,0.9932572573637269,0.9923466326573047,0.9938723155242309,0.9942655897800821,0.994205668824743,0.9932572573637269,0.9923466326573047,0.9938723155242309,0.9942655897800821,0.994205668824743,0.9932572573637269,0.9923466326573047,0.9938723155242309,0.9942655897800821,0.994205668824743,0.9932572573637269,0.9923466326573047,0.9938723155242309,0.9942655897800821,0.994205668824743,0.9932572573637269,0.9923466326573047,0.9938723155242309,0.9942655897800821,0.994205668824743
Lasso,UTS,0.9935200941285722,0.0006700729658549537,0.9930964221473484,0.9924102018039913,0.9938650746179876,0.9940501493819607,0.9941786226915735,0.9930964221473484,0.9924102018039913,0.9938650746179876,0.9940501493819607,0.9941786226915735,0.9930964221473484,0.9924102018039913,0.9938650746179876,0.9940501493819607,0.9941786226915735,0.9930964221473484,0.9924102018039913,0.9938650746179876,0.9940501493819607,0.9941786226915735,0.9930964221473484,0.9924102018039913,0.9938650746179876,0.9940501493819607,0.9941786226915735
MLP,UTS,0.9811357751540914,0.0041927771059995225,0.9853865452140977,0.9817316355925753,0.9814794153056807,0.984294515737021,0.983436353202396,0.9791834692531001,0.9735422898712448,0.9758583437104914,0.9807253816622824,0.9818187195973631,0.9739567885245681,0.9746431415170778,0.9762040688013536,0.9828358610942032,0.9825490821630046,0.9866657924844026,0.9786696916147783,0.9884177993378089,0.9868806816518872,0.9832942727003926,0.9755853528359039,0.979407462866122,0.9840878614894485,0.9858696700140259,0.9818701826110585
RandomForest,Disloc_0pct,0.9822313497993356,0.0020860276253180867,0.9802691496393733,0.9832863642977284,0.9813285376141296,0.9856537104786983,0.9803251167759485,0.9803970501270957,0.9834886030552156,0.9814450783262625,0.9858269111522306,0.9804501464974967,0.980413242163938,0.9833919903864471,0.9812934214554029,0.985739115150741,0.9805416951499227,0.9803006322444733,0.9833661868068159,0.9813206159007364,0.9858711574244929,0.9802984732628736,0.9803356504820115,0.9832636747139277,0.981249597577128,0.9857728861793824,0.9801547381209199
GradientBoosting,Disloc_0pct,0.9835944826686844,0.0023758081956090646,0.9835413036152735,0.9838513846794366,0.9825566468201834,0.9878473674502997,0.9804542634400988,0.9835307023495338,0.9838166039222581,0.982581917719974,0.9877227120262478,0.9805878743538048,0.9834818762722081,0.9837850263395139,0.9821021714922014,0.9877476835105106,0.980555301755257,0.9832184667597227,0.9839957491818905,0.9822619259993519,0.9876431869561931,0.9804372390358187,0.9832418241287227,0.9842104931849927,0.9825449576975687,0.9876500059143961,0.9804953821116553
XGBoost,Disloc_0pct,0.9836799326467285,0.0017635524845052192,0.9836436331810519,0.9839860604045548,0.9827513617890946,0.9868400283942522,0.9817092766086729,0.9831984313120831,0.9838615570440093,0.9828480241906737,0.9867386160942706,0.9812038537494849,0.9833635841230515,0.9842722021473169,0.9827551056595502,0.9866044384056656,0.9814780580305105,0.9837236986987382,0.9837605456495313,0.9828308158802681,0.9867901950345415,0.9812638912451255,0.9834854109123696,0.9839318825497007,0.9829355250049789,0.9867184805534965,0.9813036395052169
SVR,Disloc_0pct,0.9730682117780748,0.004104429009789819,0.9684507572009672,0.9766208369374507,0.9747265500978444,0.9776378442206417,0.9679050704334705,0.9684507572009672,0.9766208369374507,0.9747265500978444,0.9776378442206417,0.9679050704334705,0.9684507572009672,0.9766208369374507,0.9747265500978444,0.9776378442206417,0.9679050704334705,0.9684507572009672,0.9766208369374507,0.9747265500978444,0.9776378442206417,0.9679050704334705,0.9684507572009672,0.9766208369374507,0.9747265500978444,0.9776378442206417,0.9679050704334705
Ridge,Disloc_0pct,0.9618948829119409,0.00354818937183136,0.9685469913788822,0.9600443745338494,0.9588120167291259,0.9625004773504839,0.9595705545673633,0.9685469913788822,0.9600443745338494,0.9588120167291259,0.9625004773504839,0.9595705545673633,0.9685469913788822,0.9600443745338494,0.9588120167291259,0.9625004773504839,0.9595705545673633,0.9685469913788822,0.9600443745338494,0.9588120167291259,0.9625004773504839,0.9595705545673633,0.9685469913788822,0.9600443745338494,0.9588120167291259,0.9625004773504839,0.9595705545673633
Lasso,Disloc_0pct,0.962056763569867,0.0035846827758162377,0.968783841003258,0.9601371127595713,0.9591755628224164,0.9626990527901891,0.9594882484739002,0.968783841003258,0.9601371127595713,0.9591755628224164,0.9626990527901891,0.9594882484739002,0.968783841003258,0.9601371127595713,0.9591755628224164,0.9626990527901891,0.9594882484739002,0.968783841003258,0.9601371127595713,0.9591755628224164,0.9626990527901891,0.9594882484739002,0.968783841003258,0.9601371127595713,0.9591755628224164,0.9626990527901891,0.9594882484739002
