target,template,seed,fold,test_r2
FCC_0pct,free_1stage,0,2,-0.006787144568353831
FCC_0pct,free_1stage,0,3,-0.03542288926031634
FCC_0pct,free_1stage,0,4,0.02695215279560459
FCC_0pct,entropy_weighted,0,0,-0.06777937347770657
FCC_0pct,entropy_weighted,0,1,-0.04221901522689975
FCC_0pct,entropy_weighted,0,2,-0.10695984491319699
FCC_0pct,entropy_weighted,0,3,0.07724022722954216
FCC_0pct,entropy_weighted,0,4,-0.09490455488890892
FCC_0pct,calphad,0,0,-0.035326576865389425
FCC_0pct,calphad,0,1,-0.13689524329299685
FCC_0pct,calphad,0,2,0.0709804324837886
FCC_0pct,calphad,0,3,-0.4798072917108773
FCC_0pct,calphad,0,4,-0.6293670839362016
HCP_0pct,additive,0,0,-0.0378716957135623
HCP_0pct,additive,0,1,-0.021688850818764704
HCP_0pct,additive,0,2,0.07322852015169079
HCP_0pct,additive,0,3,-0.07797804859309321
HCP_0pct,additive,0,4,-0.0317901865451542
HCP_0pct,multiplicative,0,0,-0.5935031280872514
HCP_0pct,multiplicative,0,1,0.03811666404569369
HCP_0pct,multiplicative,0,2,0.07624335102680802
HCP_0pct,multiplicative,0,3,-0.0016298172069464378
HCP_0pct,multiplicative,0,4,-0.2283034682234535
HCP_0pct,thermal_softening,0,0,-0.046367479304553205
HCP_0pct,thermal_softening,0,1,-0.03821408121452463
HCP_0pct,thermal_softening,0,2,-0.020934956824752993
HCP_0pct,thermal_softening,0,3,-0.023934248002720482
HCP_0pct,thermal_softening,0,4,-0.2310252649242972
HCP_0pct,arrhenius,0,0,-0.037954978251024896
HCP_0pct,arrhenius,0,1,-0.045739665354197045
HCP_0pct,arrhenius,0,2,0.03496414244895729
HCP_0pct,arrhenius,0,3,-0.05347718431652915
HCP_0pct,arrhenius,0,4,-0.1649942016665047
HCP_0pct,power_law,0,0,-0.08116152523328557
HCP_0pct,power_law,0,1,0.09604253580943001
HCP_0pct,power_law,0,2,-0.11158204161394081
HCP_0pct,power_law,0,3,-0.030207372340277816
HCP_0pct,power_law,0,4,-0.22821249635061247
HCP_0pct,free_2stage,0,0,-0.06756324275980741
HCP_0pct,free_2stage,0,1,-0.030942933417873464
HCP_0pct,free_2stage,0,2,0.037541189810333275
HCP_0pct,free_2stage,0,3,-0.08056855490668746
HCP_0pct,free_2stage,0,4,-0.09352282965592429
HCP_0pct,free_1stage,0,0,-0.002301789134418808
HCP_0pct,free_1stage,0,1,-0.042328897844627233
HCP_0pct,free_1stage,0,2,0.07484611634464633
HCP_0pct,free_1stage,0,3,-0.1640915060192012
HCP_0pct,free_1stage,0,4,-0.0617468376968604
HCP_0pct,entropy_weighted,0,0,-0.3275241338524748
HCP_0pct,entropy_weighted,0,1,-0.14673649143040213
