target,seed,fold,test_r2
BCC_0pct,4,3,0.5111982115102903
BCC_0pct,4,4,0.34538075682545555
FCC_20pct,4,0,0.9468735168429562
FCC_20pct,4,1,0.9449017641588626
FCC_20pct,4,2,0.9581371674790435
FCC_20pct,4,3,0.9658419923501509
FCC_20pct,4,4,0.932388653257597
HCP_20pct,4,0,0.7811537601690645
HCP_20pct,4,1,0.7590979453044991
HCP_20pct,4,2,0.6649619427330029
HCP_20pct,4,3,0.6646810652612736
HCP_20pct,4,4,0.74852216494223
BCC_20pct,4,0,0.8719807645577626
BCC_20pct,4,1,0.9195748537332906
BCC_20pct,4,2,0.8600253745765979
BCC_20pct,4,3,0.8566569067555396
BCC_20pct,4,4,0.8723027113437596
Other_0pct,4,0,0.9981003021854757
Other_0pct,4,1,0.9986614847897731
Other_0pct,4,2,0.9988219227233206
Other_0pct,4,3,0.9988650818870872
Other_0pct,4,4,0.9980157111880894
Other_20pct,4,0,0.9966542488323081
Other_20pct,4,1,0.9952364393879187
Other_20pct,4,2,0.9967581631282487
Other_20pct,4,3,0.9960381051699826
Other_20pct,4,4,0.9967291495841595
